VendorNumber,VendorName,BrandCount,CategoryCount,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,AllocatedFreight,AdjustedProfit,ExciseTax,InventoryAtRisk,UnsoldQuantity,PurchaseLineCount,InvoiceCount,AvgLeadDaysWeightedSum,AvgLeadDaysWeight,GrossMarginPct,AdjustedMarginPct,StockTurnover,SalesToPurchaseRatio,AvgLeadDays,RevenueSharePct,CostSharePct,PerformanceScore,PerformanceRank,PerformanceTier
90011,FORTUNE WINE BROKERS LLC,59,2,5072.0,4707.0,46940.17,72952.93000000001,26012.760000000002,238.61,25774.15,621.29,6848.6,687.0,402.0,53.0,2969.0,402.0,35.6569091878832,35.329835278720125,0.9280362776025236,1.554168423335493,7.385572139303482,0.016137781181584737,0.014582186507917873,54.92248062015504,60,Watchlist
90033,FANTASY FINE WINES CORP,1,1,24.0,41.0,128.64,327.59000000000003,198.95000000000005,0.61,198.34000000000003,4.51,0.0,0.0,2.0,2.0,15.0,2.0,60.73140205744987,60.54519368723099,1.7083333333333333,2.546564054726369,7.5,7.24655711192867e-05,3.996262630447557e-05,54.84496124031008,61,Watchlist
17032,JEWELL TOWNE VINEYARDS,7,1,6630.0,6318.0,54332.369999999995,85230.82,30898.45,283.61,30614.84,698.97,4796.76,523.0,582.0,54.0,4595.0,582.0,36.25267244876912,35.91991723181825,0.9529411764705882,1.5686932117998904,7.8951890034364265,0.018853750261806294,0.01687860850860152,53.87596899224807,62,Watchlist
201359,FLAVOR ESSENCE INC,1,1,1.0,59.0,17.0,1474.4099999999999,1457.4099999999999,0.09,1457.32,1.24,0.0,0.0,1.0,1.0,13.0,1.0,98.84699642568891,98.84089228911904,59.0,86.72999999999999,13.0,0.0003261514781097942,5.281130652799166e-06,53.37209302325581,63,Watchlist
90032,LABELLE VYDS AND WINERY,10,1,12855.0,12430.0,146839.55,203067.69999999998,56228.15,778.25,55449.9,1295.5800000000002,16101.749999999998,950.0,1052.0,54.0,8251.0,1052.0,27.689361725178358,27.306115152729856,0.9669389342668222,1.382922380244287,7.843155893536122,0.04492022606422655,0.04561640285577857,53.217054263565885,64,Watchlist
90046,CANDIA VINEYARDS,5,1,2609.0,2567.0,36588.009999999995,52623.33,16035.320000000002,194.13,15841.190000000002,224.71,1037.4499999999998,64.0,226.0,50.0,1706.0,226.0,30.471883858357124,30.102979039904927,0.98390187811422,1.438267071644509,7.548672566371682,0.011640708393567244,0.011366238890348376,52.90697674418604,65,Watchlist
8664,"STOLI GROUP,(USA) LLC",49,2,314035.0,272010.0,3666478.72,4663847.6,997368.8799999999,18544.49,978824.3899999999,288028.23,168362.57,45402.0,21927.0,55.0,172472.0,21927.0,21.385108724393138,20.987486597975458,0.8661773369210438,1.272023637982549,7.865736306836321,1.0316810035328141,1.1390090091781089,52.05426356589147,66,Watchlist
4550,KLIN SPIRITS LLC,4,1,6840.0,6606.0,103484.29,147675.94,44191.649999999994,531.5,43660.149999999994,6073.16,5642.91,278.0,1335.0,54.0,10772.0,1335.0,29.924746035136117,29.564836357229208,0.9657894736842105,1.427037282663871,8.068913857677902,0.03266711844890722,0.03214788564718577,51.93798449612403,67,Watchlist
90058,ZORVINO VINEYARDS,6,1,10550.0,10141.0,86122.71,124189.59,38066.88,448.68,37618.2,1121.54,3887.77,518.0,886.0,55.0,7016.0,886.0,30.652230996172868,30.290944675797704,0.9612322274881516,1.4420074565698175,7.918735891647856,0.02747174689831819,0.026754428451949013,51.627906976744185,68,Watchlist
1439,CAPSTONE INTERNATIONAL,1,1,4.0,13.0,54.64,246.87,192.23000000000002,0.27,191.96,23.89,0.0,0.0,1.0,1.0,8.0,1.0,77.86689350670393,77.75752420302183,3.25,4.51811859443631,8.0,5.460965091186638e-05,1.6974175227585084e-05,51.627906976744185,68,Watchlist
90026,SILVER MOUNTAIN CIDERS,2,1,17.0,52.0,77.17999999999999,381.48,304.29999999999995,0.36,303.93999999999994,5.17,0.0,0.0,2.0,2.0,17.0,2.0,79.76827094474152,79.67390164621997,3.0588235294117645,4.94273127753304,8.5,8.438647721415639e-05,2.397633316370821e-05,50.93023255813953,69,Watchlist
5992,MCCORMICK DISTILLING CO,31,1,29788.0,28998.0,310552.87,385759.72,75206.84999999999,1567.85,73638.99999999999,24882.39,20949.480000000003,1542.0,2576.0,54.0,19748.0,2576.0,19.495775764250347,19.089344009270846,0.9734792533906271,1.2421708419567978,7.666149068322981,0.08533318606983156,0.09647472241598555,50.465116279069754,70,Watchlist
388,ATLANTIC IMPORTING COMPANY,3,2,1847.0,1825.0,41116.32,59272.74999999999,18156.429999999997,211.74,17944.689999999995,1356.15,4050.8,190.0,266.0,53.0,2155.0,266.0,30.632002058281415,30.274772133906385,0.9880887926367081,1.4415869416329086,8.101503759398497,0.013111614153547729,0.012772979875429375,50.310077519379846,71,Watchlist
17033,SEA BREEZE CELLARS LLC,16,1,8473.0,7106.0,108948.09,149564.94,40616.84999999999,549.55,40067.299999999996,788.5500000000001,24038.12,1522.0,591.0,53.0,4346.0,591.0,27.156665191722063,26.789232824216686,0.8386639915024194,1.3728091974811123,7.353637901861252,0.033084980605396525,0.03384524103899543,49.961240310077514,72,Watchlist
