VendorNumber,VendorName,Brand,Description,Classification,PurchaseQuantity,SalesQuantity,PurchaseCost,Revenue,GrossProfit,GrossMarginPct,AllocatedFreight,AdjustedProfit,AdjustedMarginPct,ExciseTax,AvgUnitCost,AvgUnitRevenue,ReferencePurchasePrice,ReferenceRetailPrice,VolumeML,AvgLeadDays,StockTurnover,SalesToPurchaseRatio,UnsoldQuantity,InventoryAtRisk,PurchaseLineCount,InvoiceCount,InvoiceValue,LeadDaySum,LeadDayCount,FreightCost
12546,JIM BEAM BRANDS COMPANY,5083,DK Burst Blustery Pmnt Trav,1,48.0,43.0,396.48,472.57,76.08999999999997,16.101318323211373,2.029336051497311,74.06066394850266,15.671892830374901,33.93,8.26,10.99,8.26,10.99,750.0,4.25,0.8958333333333334,1.1919138418079096,5.0,41.3,4.0,55.0,24203151.05,17.0,4.0,123880.97
653,STATE WINE & SPIRITS,20595,Fritz Znfdl Dry Creek Valley,2,12.0,12.0,141.12,215.88,74.75999999999999,34.63035019455253,0.7394177012106384,74.02058229878935,34.2878368995689,1.35,11.76,17.99,11.76,17.99,750.0,8.0,1.0,1.5297619047619047,0.0,0.0,1.0,55.0,1529682.04,8.0,1.0,8014.98
4692,KOBRAND CORPORATION,20275,Louis Jadot Les Drazeys 11,2,0.0,2.0,0.0,73.98,73.98,100.0,0.0,73.98,100.0,0.22,0.0,36.99,24.99,51.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1808146.33,0.0,0.0,9139.380000000001
9552,M S WALKER INC,20186,Steele 10 Sangiacmo Vy Pnt N,2,0.0,4.0,0.0,73.96,73.96,100.0,0.0,73.96,100.0,0.44,0.0,18.49,12.33,29.99,750.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10935817.3,0.0,0.0,55551.82
9552,M S WALKER INC,23989,Sierra Cantabria 14 Rose Rio,2,12.0,14.0,107.52,181.85999999999999,74.33999999999999,40.87759815242494,0.5461806395028197,73.79381936049717,40.577267876661814,1.54,8.959999999999999,12.989999999999998,8.96,12.99,750.0,6.0,1.1666666666666667,1.69140625,0.0,0.0,1.0,55.0,10935817.3,6.0,1.0,55551.82
653,STATE WINE & SPIRITS,13494,Altocedro Malbec Reserva,2,8.0,8.0,165.44,239.92,74.47999999999999,31.043681227075687,0.8668456950700681,73.61315430492992,30.68237508541594,0.9,20.68,29.99,20.68,29.99,750.0,8.0,1.0,1.4501934235976788,0.0,0.0,1.0,55.0,1529682.04,8.0,1.0,8014.98
1485,CASTLE BRANDS CORP.,5645,Pallini Raspicello Liqueur,1,12.0,12.0,225.48,299.88,74.4,24.80992396958784,1.140916369265441,73.25908363073457,24.429466330110234,9.44,18.79,24.99,18.79,24.99,750.0,8.5,1.0,1.3299627461415646,0.0,0.0,2.0,55.0,1679383.91,17.0,2.0,8497.59
9552,M S WALKER INC,692,Thatchers Organic Pomegranat,1,27.0,27.0,195.48,269.73,74.25000000000003,27.527527527527536,0.9930002921318005,73.25699970786823,27.15938149552079,21.26,7.239999999999999,9.99,7.24,9.99,750.0,3.0,1.0,1.3798342541436466,0.0,0.0,3.0,55.0,10935817.3,9.0,3.0,55551.82
1650,Circa Wines,26877,Argentiera Poggio Ginerpi Bo,2,12.0,12.0,153.96,227.88,73.91999999999999,32.43812532912059,0.7668994795830462,73.15310052041694,32.101588783753265,1.35,12.83,18.99,12.83,18.99,750.0,6.0,1.0,1.4801247077162898,0.0,0.0,1.0,43.0,42554.340000000004,6.0,1.0,211.97
9165,ULTRA BEVERAGE COMPANY LLP,6457,Fetzer Valley Oaks Cab Svgn,2,48.0,37.0,340.32,414.63,74.31,17.922002749439258,1.7531642077136984,72.55683579228631,17.49917656519941,4.130000000000001,7.09,11.206216216216216,7.09,10.99,750.0,8.333333333333334,0.7708333333333334,1.2183533145275036,11.0,77.99,3.0,55.0,13210613.93,25.0,3.0,68054.7
